unique_id1,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5,result
P11940,0.148,0.102,0.75,0.209,0.498,0.409,0.074,0.075,0.102,0.148,0.75,0.489,0.264,0.338,0.108,0.05,0.484,0.234,0.281,0.387,0.347,0.272,0.236,0.509,0.491,0.262,-0.414,-0.286,-0.311,0.207,1
Q9BYF1,0.117,0.123,0.76,0.214,0.48,0.369,0.046,0.118,0.123,0.117,0.76,0.484,0.23,0.339,0.116,0.043,0.425,0.288,0.287,0.41,0.342,0.256,0.194,0.471,0.529,0.001,-0.232,-0.196,-0.396,0.035,1
Q4KMQ2,0.135,0.112,0.753,0.213,0.49,0.38,0.046,0.134,0.112,0.135,0.753,0.515,0.231,0.301,0.103,0.047,0.405,0.355,0.24,0.438,0.311,0.246,0.17,0.425,0.575,-0.238,-0.225,-0.307,-0.335,-0.003,1
P78406,0.133,0.095,0.772,0.258,0.454,0.353,0.062,0.103,0.095,0.133,0.772,0.489,0.255,0.359,0.158,0.054,0.359,0.304,0.337,0.397,0.326,0.304,0.258,0.56,0.44,0.285,-0.342,0.011,-0.284,0.062,1
P57740,0.142,0.152,0.706,0.218,0.455,0.369,0.036,0.086,0.152,0.142,0.706,0.489,0.21,0.372,0.128,0.039,0.498,0.267,0.235,0.409,0.329,0.241,0.188,0.436,0.564,0.126,-0.312,-0.361,-0.466,0.133,1
Q5VVH5,0.162,0.115,0.723,0.265,0.423,0.369,0.038,0.054,0.115,0.162,0.723,0.473,0.235,0.392,0.162,0.031,0.485,0.285,0.231,0.392,0.335,0.246,0.227,0.5,0.5,0.43,-0.507,-0.487,-0.479,0.148,0
Q5MJ68,0.157,0.091,0.752,0.241,0.496,0.401,0.095,0.095,0.091,0.157,0.752,0.5,0.266,0.336,0.113,0.066,0.449,0.248,0.303,0.423,0.307,0.296,0.241,0.485,0.515,0.039,-0.293,-0.098,-0.131,0.167,0
Q658Y4,0.129,0.116,0.755,0.24,0.467,0.399,0.048,0.079,0.116,0.129,0.755,0.481,0.226,0.36,0.152,0.038,0.424,0.265,0.311,0.414,0.301,0.285,0.223,0.498,0.502,0.07,-0.421,-0.228,-0.453,0.146,0
Q10589,0.122,0.128,0.75,0.228,0.494,0.456,0.022,0.033,0.128,0.122,0.75,0.517,0.172,0.356,0.111,0.056,0.544,0.239,0.217,0.472,0.3,0.2,0.25,0.467,0.533,0.068,-0.719,-0.433,-0.582,0.213,1
P22090,0.217,0.087,0.696,0.141,0.513,0.445,0.049,0.068,0.087,0.217,0.696,0.502,0.308,0.285,0.095,0.034,0.407,0.327,0.266,0.46,0.289,0.217,0.19,0.498,0.502,0.135,-0.524,-0.56,-0.149,0.074,1
P31751,0.16,0.152,0.688,0.2,0.464,0.362,0.052,0.108,0.152,0.16,0.688,0.482,0.237,0.353,0.114,0.048,0.462,0.289,0.249,0.393,0.324,0.262,0.179,0.441,0.559,0.127,-0.242,-0.332,-0.355,0.082,1
Q15773,0.157,0.137,0.706,0.222,0.456,0.319,0.056,0.081,0.137,0.157,0.706,0.399,0.242,0.44,0.145,0.081,0.452,0.19,0.359,0.327,0.278,0.327,0.266,0.484,0.516,0.688,-0.238,-0.16,-0.248,0.085,0
Q9BRV8,0.164,0.188,0.647,0.227,0.401,0.343,0.014,0.024,0.188,0.164,0.647,0.435,0.198,0.396,0.111,0.063,0.638,0.164,0.198,0.353,0.386,0.217,0.213,0.386,0.614,0.526,-0.314,-0.451,-0.544,0.269,1
Q14439,0.107,0.072,0.821,0.25,0.534,0.449,0.062,0.097,0.072,0.107,0.821,0.579,0.206,0.313,0.161,0.041,0.388,0.353,0.258,0.478,0.254,0.289,0.237,0.53,0.47,-0.341,-0.613,-0.271,-0.398,0.138,0
Q5TBC7,0.067,0.135,0.798,0.245,0.509,0.423,0.025,0.061,0.135,0.067,0.798,0.521,0.135,0.411,0.135,0.067,0.448,0.288,0.264,0.479,0.301,0.215,0.276,0.515,0.485,0.098,-0.769,-0.188,-0.688,0.077,0
Q9BUF7,0.1,0.075,0.825,0.2,0.583,0.542,0.083,0.042,0.075,0.1,0.825,0.575,0.225,0.342,0.158,0.008,0.492,0.208,0.3,0.492,0.258,0.258,0.267,0.525,0.475,-0.23,-0.786,-0.449,-0.505,0.349,1
Q3MIN7,0.128,0.114,0.758,0.231,0.503,0.446,0.108,0.061,0.114,0.128,0.758,0.5,0.261,0.375,0.149,0.023,0.461,0.199,0.341,0.394,0.331,0.297,0.259,0.534,0.466,0.214,-0.424,-0.207,-0.417,0.367,0
P35613,0.127,0.13,0.743,0.221,0.488,0.421,0.047,0.07,0.13,0.127,0.743,0.483,0.208,0.397,0.143,0.031,0.421,0.27,0.309,0.447,0.299,0.252,0.265,0.551,0.449,0.304,-0.582,-0.196,-0.443,0.155,1
P01566,0.127,0.122,0.751,0.265,0.455,0.36,0.026,0.09,0.122,0.127,0.751,0.487,0.185,0.365,0.138,0.058,0.508,0.259,0.233,0.423,0.296,0.238,0.217,0.402,0.598,-0.02,-0.304,-0.365,-0.485,0.122,1
P62266,0.259,0.077,0.664,0.119,0.497,0.448,0.035,0.056,0.077,0.259,0.664,0.434,0.343,0.266,0.056,0.028,0.503,0.238,0.259,0.476,0.329,0.147,0.252,0.49,0.51,0.486,-0.509,-0.595,-0.062,0.109,1
P04233,0.152,0.098,0.75,0.233,0.47,0.382,0.095,0.064,0.098,0.152,0.75,0.486,0.294,0.341,0.122,0.078,0.476,0.209,0.314,0.351,0.355,0.331,0.199,0.483,0.517,0.153,-0.293,-0.166,-0.202,0.136,1
Q2KJY2,0.131,0.102,0.767,0.277,0.459,0.409,0.082,0.047,0.102,0.131,0.767,0.453,0.244,0.42,0.198,0.041,0.424,0.2,0.376,0.382,0.31,0.332,0.338,0.588,0.412,0.533,-0.644,-0.073,-0.459,0.267,0
Q3B726,0.172,0.151,0.678,0.207,0.429,0.379,0.056,0.059,0.151,0.172,0.678,0.423,0.269,0.376,0.112,0.041,0.479,0.219,0.302,0.385,0.399,0.234,0.251,0.497,0.503,0.575,-0.422,-0.207,-0.446,0.168,0
O95487,0.094,0.078,0.828,0.304,0.479,0.42,0.091,0.078,0.078,0.094,0.828,0.501,0.23,0.379,0.184,0.038,0.392,0.249,0.359,0.383,0.308,0.364,0.275,0.579,0.421,0.095,-0.527,-0.021,-0.452,0.26,1
Q4G148,0.15,0.098,0.752,0.2,0.511,0.398,0.05,0.13,0.098,0.15,0.752,0.509,0.241,0.289,0.089,0.061,0.441,0.3,0.259,0.464,0.286,0.241,0.225,0.452,0.548,-0.133,-0.267,-0.195,-0.182,0.021,0
Q6NZ67,0.133,0.082,0.785,0.196,0.576,0.532,0.095,0.019,0.082,0.133,0.785,0.506,0.241,0.38,0.133,0.038,0.532,0.127,0.342,0.456,0.297,0.266,0.361,0.582,0.418,0.347,-0.915,-0.27,-0.383,0.44,0
Q6PII3,0.199,0.197,0.604,0.188,0.392,0.323,0.077,0.062,0.197,0.199,0.604,0.39,0.3,0.413,0.107,0.03,0.522,0.184,0.293,0.293,0.465,0.24,0.173,0.441,0.559,0.77,-0.102,-0.391,-0.441,0.241,0
Q5T6V5,0.15,0.15,0.701,0.194,0.472,0.396,0.026,0.103,0.15,0.15,0.701,0.463,0.211,0.34,0.106,0.041,0.452,0.282,0.267,0.452,0.287,0.217,0.226,0.457,0.543,0.121,-0.341,-0.299,-0.419,0.053,0
O43734,0.138,0.113,0.749,0.226,0.484,0.42,0.132,0.07,0.113,0.138,0.749,0.486,0.308,0.341,0.113,0.038,0.444,0.213,0.343,0.341,0.389,0.338,0.2,0.509,0.491,0.17,-0.21,-0.096,-0.277,0.315,1
Q16557,0.11,0.077,0.813,0.285,0.47,0.411,0.084,0.105,0.077,0.11,0.813,0.502,0.252,0.35,0.173,0.033,0.36,0.311,0.329,0.386,0.301,0.355,0.215,0.523,0.477,-0.103,-0.424,-0.192,-0.402,0.082,0
Q5MAI5,0.158,0.108,0.734,0.211,0.467,0.388,0.045,0.084,0.108,0.158,0.734,0.483,0.259,0.325,0.103,0.045,0.443,0.301,0.256,0.425,0.343,0.222,0.179,0.446,0.554,0.059,-0.336,-0.399,-0.369,0.059,0
P23458,0.169,0.139,0.692,0.212,0.429,0.348,0.045,0.09,0.139,0.169,0.692,0.454,0.265,0.334,0.11,0.057,0.457,0.278,0.265,0.382,0.36,0.253,0.184,0.439,0.561,0.213,-0.229,-0.289,-0.356,0.028,1
P01568,0.127,0.116,0.757,0.265,0.46,0.354,0.026,0.095,0.116,0.127,0.757,0.497,0.185,0.365,0.143,0.058,0.503,0.27,0.228,0.429,0.307,0.238,0.217,0.407,0.593,-0.059,-0.336,-0.347,-0.478,0.118,1
Q3SY52,0.207,0.092,0.7,0.306,0.372,0.318,0.041,0.072,0.092,0.207,0.7,0.405,0.271,0.386,0.146,0.076,0.464,0.267,0.269,0.378,0.306,0.3,0.281,0.478,0.522,0.643,-0.394,-0.178,-0.171,-0.003,0
Q15750,0.111,0.117,0.772,0.258,0.478,0.427,0.056,0.063,0.117,0.111,0.772,0.472,0.202,0.413,0.159,0.026,0.446,0.234,0.319,0.417,0.304,0.284,0.274,0.552,0.448,0.308,-0.62,-0.208,-0.546,0.236,1
P01570,0.132,0.116,0.751,0.254,0.45,0.312,0.026,0.095,0.116,0.132,0.751,0.508,0.206,0.333,0.132,0.095,0.529,0.254,0.217,0.392,0.317,0.259,0.201,0.402,0.598,-0.023,-0.197,-0.27,-0.364,0.036,1
Q96J02,0.13,0.124,0.746,0.24,0.452,0.363,0.069,0.102,0.124,0.13,0.746,0.456,0.252,0.39,0.138,0.035,0.396,0.279,0.324,0.381,0.352,0.276,0.203,0.492,0.508,0.235,-0.276,-0.212,-0.433,0.066,1
Q6YI46,0.082,0.05,0.868,0.187,0.655,0.584,0.047,0.076,0.05,0.082,0.868,0.592,0.155,0.305,0.108,0.05,0.429,0.284,0.287,0.616,0.163,0.218,0.342,0.566,0.434,-0.457,-1.066,-0.231,-0.373,0.16,0
Q07817,0.103,0.133,0.764,0.219,0.494,0.382,0.03,0.112,0.133,0.103,0.764,0.468,0.185,0.399,0.146,0.03,0.433,0.266,0.3,0.442,0.283,0.245,0.27,0.519,0.481,0.247,-0.426,-0.176,-0.493,0.066,1
Q52MB2,0.072,0.201,0.727,0.186,0.531,0.469,0.088,0.015,0.201,0.072,0.727,0.469,0.17,0.479,0.108,0.072,0.469,0.165,0.366,0.412,0.376,0.268,0.278,0.546,0.454,0.419,-0.851,0.002,-0.728,0.276,0
Q24JQ0,0.091,0.041,0.868,0.257,0.588,0.48,0.034,0.142,0.041,0.091,0.868,0.608,0.149,0.284,0.142,0.047,0.402,0.355,0.243,0.588,0.179,0.243,0.291,0.483,0.517,-0.745,-0.674,-0.161,-0.319,0.108,0
Q3KNT7,0.104,0.104,0.791,0.227,0.552,0.472,0.098,0.067,0.104,0.104,0.791,0.571,0.215,0.337,0.123,0.074,0.479,0.227,0.294,0.466,0.264,0.301,0.294,0.552,0.448,-0.037,-0.624,0.007,-0.322,0.256,0
Q53G44,0.146,0.128,0.726,0.212,0.46,0.387,0.031,0.069,0.128,0.146,0.726,0.482,0.23,0.332,0.126,0.066,0.42,0.29,0.29,0.416,0.296,0.259,0.199,0.467,0.533,0.066,-0.407,-0.301,-0.427,0.045,0
Q7Z3B4,0.11,0.097,0.793,0.272,0.473,0.404,0.041,0.069,0.097,0.11,0.793,0.477,0.199,0.448,0.158,0.02,0.438,0.276,0.286,0.42,0.333,0.249,0.225,0.503,0.497,0.253,-0.667,-0.408,-0.592,0.147,1
P61981,0.138,0.182,0.68,0.235,0.389,0.34,0.016,0.077,0.182,0.138,0.68,0.413,0.211,0.381,0.117,0.04,0.518,0.235,0.247,0.356,0.372,0.235,0.211,0.457,0.543,0.505,-0.274,-0.318,-0.63,0.077,1
Q5VTH9,0.13,0.132,0.738,0.245,0.442,0.371,0.053,0.08,0.132,0.13,0.738,0.463,0.233,0.392,0.16,0.037,0.41,0.278,0.311,0.383,0.347,0.285,0.231,0.519,0.481,0.302,-0.437,-0.209,-0.502,0.107,0
Q4LEZ3,0.155,0.155,0.69,0.187,0.484,0.406,0.052,0.065,0.155,0.155,0.69,0.484,0.226,0.374,0.09,0.032,0.594,0.174,0.232,0.426,0.329,0.181,0.252,0.452,0.548,0.47,-0.293,-0.391,-0.397,0.288,0
Q6AZW8,0.272,0.109,0.619,0.311,0.266,0.23,0.024,0.063,0.109,0.272,0.619,0.341,0.338,0.381,0.157,0.079,0.486,0.275,0.239,0.302,0.347,0.299,0.248,0.444,0.556,1.08,-0.184,-0.317,-0.122,-0.144,0
Q3MIW9,0.155,0.103,0.743,0.323,0.364,0.323,0.068,0.041,0.103,0.155,0.743,0.47,0.279,0.455,0.257,0.027,0.395,0.286,0.319,0.292,0.352,0.391,0.224,0.573,0.427,0.637,-0.577,-0.288,-0.512,0.135,0
Q15760,0.128,0.055,0.817,0.277,0.501,0.376,0.048,0.142,0.055,0.128,0.817,0.569,0.214,0.299,0.186,0.051,0.357,0.393,0.251,0.441,0.224,0.337,0.21,0.48,0.52,-0.452,-0.348,-0.27,-0.222,0.026,0
Q5HYM0,0.161,0.124,0.714,0.246,0.423,0.362,0.085,0.066,0.124,0.161,0.714,0.431,0.291,0.362,0.142,0.05,0.449,0.214,0.337,0.327,0.367,0.33,0.233,0.507,0.493,0.445,-0.24,-0.137,-0.319,0.196,0
Q5XG92,0.132,0.082,0.786,0.201,0.544,0.424,0.062,0.109,0.082,0.132,0.786,0.533,0.235,0.312,0.107,0.057,0.451,0.275,0.275,0.449,0.285,0.271,0.214,0.476,0.524,-0.206,-0.385,-0.268,-0.196,0.105,0
Q5TFQ8,0.126,0.09,0.784,0.246,0.497,0.44,0.073,0.068,0.09,0.126,0.784,0.528,0.239,0.367,0.166,0.025,0.394,0.302,0.304,0.43,0.296,0.302,0.241,0.578,0.422,0.112,-0.627,-0.247,-0.4,0.192,0
Q5JT82,0.116,0.093,0.792,0.283,0.463,0.388,0.129,0.057,0.093,0.116,0.792,0.447,0.29,0.406,0.157,0.067,0.422,0.18,0.398,0.314,0.362,0.391,0.278,0.563,0.437,0.465,-0.368,0.08,-0.294,0.229,0
Q6P499,0.094,0.067,0.84,0.214,0.594,0.488,0.042,0.113,0.067,0.094,0.84,0.589,0.167,0.281,0.126,0.054,0.429,0.328,0.244,0.527,0.217,0.276,0.254,0.478,0.522,-0.645,-0.687,-0.247,-0.352,0.141,0
Q07157,0.161,0.141,0.698,0.239,0.419,0.375,0.099,0.066,0.141,0.161,0.698,0.421,0.3,0.394,0.152,0.014,0.428,0.217,0.355,0.313,0.391,0.328,0.222,0.531,0.469,0.572,-0.25,-0.182,-0.423,0.285,1
Q4G112,0.119,0.084,0.797,0.289,0.463,0.404,0.111,0.072,0.084,0.119,0.797,0.487,0.275,0.384,0.173,0.035,0.404,0.245,0.351,0.357,0.342,0.367,0.253,0.56,0.44,0.242,-0.439,-0.044,-0.368,0.241,0
Q13546,0.142,0.13,0.729,0.232,0.437,0.364,0.057,0.079,0.13,0.142,0.729,0.431,0.258,0.37,0.128,0.051,0.452,0.24,0.308,0.359,0.359,0.295,0.216,0.469,0.531,0.31,-0.314,-0.205,-0.417,0.076,1
Q6NSX1,0.203,0.221,0.577,0.104,0.441,0.252,0.014,0.158,0.221,0.203,0.577,0.423,0.248,0.36,0.068,0.041,0.613,0.221,0.167,0.396,0.392,0.14,0.171,0.279,0.721,0.401,0.287,-0.411,-0.197,-0.052,0
Q8N3R9,0.169,0.161,0.67,0.193,0.43,0.373,0.053,0.055,0.161,0.169,0.67,0.43,0.27,0.373,0.099,0.031,0.504,0.225,0.271,0.36,0.401,0.233,0.17,0.43,0.57,0.415,-0.257,-0.406,-0.464,0.181,1
P62942,0.157,0.12,0.722,0.194,0.519,0.426,0.065,0.083,0.12,0.157,0.722,0.472,0.231,0.398,0.111,0.046,0.417,0.287,0.296,0.426,0.315,0.269,0.222,0.5,0.5,0.198,-0.618,-0.343,-0.321,0.126,1
P01893,0.138,0.13,0.732,0.243,0.472,0.392,0.055,0.094,0.13,0.138,0.732,0.483,0.21,0.392,0.135,0.039,0.47,0.268,0.262,0.401,0.287,0.285,0.243,0.508,0.492,0.306,-0.397,-0.292,-0.335,0.144,1
Q5TYW1,0.226,0.128,0.646,0.291,0.315,0.259,0.031,0.09,0.128,0.226,0.646,0.381,0.297,0.381,0.146,0.068,0.476,0.285,0.239,0.331,0.34,0.305,0.243,0.44,0.56,0.807,-0.182,-0.177,-0.203,-0.096,0
Q14653,0.115,0.126,0.759,0.197,0.534,0.45,0.098,0.087,0.126,0.115,0.759,0.496,0.241,0.391,0.119,0.03,0.396,0.241,0.363,0.433,0.33,0.274,0.234,0.546,0.454,0.106,-0.461,-0.116,-0.366,0.211,1
P30511,0.13,0.136,0.734,0.231,0.483,0.419,0.058,0.095,0.136,0.13,0.734,0.486,0.208,0.384,0.116,0.026,0.48,0.266,0.254,0.422,0.292,0.263,0.237,0.497,0.503,0.25,-0.408,-0.298,-0.383,0.156,1
Q5M9Q1,0.264,0.164,0.572,0.251,0.296,0.249,0.05,0.062,0.164,0.264,0.572,0.284,0.338,0.425,0.184,0.03,0.498,0.159,0.343,0.241,0.383,0.316,0.271,0.465,0.535,1.261,-0.011,-0.35,-0.258,0.161,0
Q5VTH2,0.158,0.056,0.785,0.294,0.441,0.39,0.113,0.056,0.056,0.158,0.785,0.475,0.322,0.373,0.209,0.023,0.418,0.209,0.373,0.316,0.367,0.39,0.271,0.559,0.441,0.374,-0.381,-0.154,-0.228,0.332,0
P00973,0.145,0.118,0.738,0.248,0.458,0.375,0.06,0.115,0.118,0.145,0.738,0.48,0.238,0.36,0.118,0.038,0.438,0.292,0.27,0.415,0.335,0.245,0.202,0.455,0.545,0.087,-0.257,-0.29,-0.368,0.091,1
P62258,0.137,0.2,0.663,0.188,0.431,0.365,0.02,0.075,0.2,0.137,0.663,0.443,0.2,0.369,0.094,0.051,0.529,0.227,0.243,0.384,0.369,0.212,0.204,0.443,0.557,0.384,-0.31,-0.304,-0.605,0.114,1
Q9Y2I7,0.145,0.128,0.727,0.265,0.426,0.351,0.058,0.079,0.128,0.145,0.727,0.45,0.239,0.393,0.159,0.046,0.435,0.255,0.311,0.367,0.338,0.297,0.227,0.489,0.511,0.316,-0.32,-0.206,-0.434,0.153,1
P62269,0.27,0.105,0.625,0.138,0.447,0.395,0.02,0.059,0.105,0.27,0.625,0.428,0.329,0.303,0.079,0.013,0.513,0.27,0.217,0.414,0.309,0.164,0.151,0.408,0.592,0.451,-0.255,-0.9,-0.118,0.092,1
P61769,0.151,0.134,0.714,0.244,0.429,0.353,0.042,0.109,0.134,0.151,0.714,0.454,0.235,0.345,0.151,0.034,0.429,0.286,0.286,0.387,0.311,0.294,0.21,0.471,0.529,0.121,-0.219,-0.229,-0.404,0.096,1
P62854,0.278,0.061,0.661,0.148,0.47,0.426,0.104,0.052,0.061,0.278,0.661,0.504,0.426,0.174,0.07,0.061,0.47,0.27,0.261,0.391,0.33,0.243,0.235,0.539,0.461,0.477,-0.204,-0.439,0.163,0.177,1
Q6ZN11,0.222,0.096,0.682,0.254,0.379,0.31,0.054,0.096,0.096,0.222,0.682,0.414,0.325,0.323,0.116,0.069,0.453,0.281,0.266,0.369,0.337,0.271,0.239,0.453,0.547,0.559,-0.148,-0.223,-0.096,-0.07,0
Q6NUM6,0.162,0.15,0.689,0.204,0.448,0.347,0.033,0.097,0.15,0.162,0.689,0.458,0.232,0.361,0.112,0.051,0.473,0.277,0.25,0.415,0.34,0.231,0.214,0.442,0.558,0.267,-0.259,-0.254,-0.335,0.04,0
Q15695,0.248,0.169,0.582,0.244,0.296,0.217,0.04,0.088,0.169,0.248,0.582,0.313,0.33,0.403,0.121,0.044,0.564,0.186,0.251,0.263,0.42,0.238,0.192,0.372,0.628,1.065,0.211,-0.456,-0.264,0.022,0
Q6PJG2,0.147,0.106,0.746,0.234,0.481,0.433,0.121,0.051,0.106,0.147,0.746,0.466,0.299,0.385,0.123,0.024,0.488,0.186,0.326,0.354,0.4,0.3,0.235,0.512,0.488,0.383,-0.407,-0.257,-0.364,0.353,0
Q5JXA9,0.096,0.099,0.804,0.266,0.506,0.43,0.064,0.07,0.099,0.096,0.804,0.52,0.193,0.404,0.167,0.056,0.404,0.281,0.316,0.439,0.289,0.301,0.272,0.558,0.442,0.076,-0.726,-0.145,-0.487,0.137,0
Q6ZNE5,0.159,0.142,0.699,0.256,0.404,0.346,0.043,0.065,0.142,0.159,0.699,0.429,0.24,0.4,0.161,0.047,0.457,0.24,0.303,0.368,0.337,0.27,0.252,0.5,0.5,0.538,-0.369,-0.257,-0.47,0.117,1
Q6ZMD2,0.07,0.066,0.863,0.225,0.619,0.533,0.066,0.1,0.066,0.07,0.863,0.598,0.156,0.336,0.135,0.045,0.389,0.309,0.303,0.566,0.193,0.254,0.311,0.559,0.441,-0.453,-0.853,-0.145,-0.401,0.175,0
Q53QW1,0.099,0.116,0.785,0.284,0.484,0.43,0.094,0.038,0.116,0.099,0.785,0.486,0.21,0.451,0.218,0.028,0.418,0.195,0.387,0.362,0.309,0.38,0.316,0.625,0.375,0.428,-0.693,-0.027,-0.52,0.413,0
Q6UXU4,0.124,0.097,0.779,0.221,0.526,0.414,0.045,0.115,0.097,0.124,0.779,0.538,0.202,0.338,0.133,0.057,0.444,0.29,0.266,0.489,0.233,0.263,0.293,0.526,0.474,0.029,-0.5,-0.088,-0.237,0.047,0
Q2VWP7,0.123,0.097,0.781,0.252,0.485,0.425,0.07,0.074,0.097,0.123,0.781,0.511,0.237,0.357,0.164,0.036,0.403,0.292,0.304,0.405,0.293,0.32,0.237,0.535,0.465,0.059,-0.53,-0.249,-0.412,0.168,0
O14786,0.128,0.127,0.745,0.23,0.467,0.384,0.057,0.103,0.127,0.128,0.745,0.453,0.234,0.385,0.134,0.046,0.36,0.304,0.336,0.412,0.325,0.281,0.239,0.516,0.484,0.231,-0.434,-0.11,-0.422,0.019,1
Q6UXX5,0.127,0.081,0.791,0.248,0.516,0.461,0.099,0.064,0.081,0.127,0.791,0.527,0.254,0.364,0.173,0.024,0.414,0.254,0.331,0.406,0.29,0.35,0.238,0.535,0.465,-0.045,-0.583,-0.244,-0.36,0.302,0
P55212,0.167,0.137,0.696,0.208,0.451,0.358,0.034,0.102,0.137,0.167,0.696,0.474,0.239,0.341,0.116,0.058,0.437,0.297,0.266,0.427,0.3,0.249,0.225,0.481,0.519,0.255,-0.337,-0.18,-0.32,0.024,1
Q5SZJ8,0.147,0.129,0.724,0.283,0.362,0.294,0.039,0.043,0.129,0.147,0.724,0.412,0.265,0.427,0.19,0.05,0.47,0.211,0.319,0.301,0.412,0.283,0.226,0.505,0.495,0.704,-0.339,-0.296,-0.584,0.101,0
Q6IEE7,0.119,0.115,0.765,0.23,0.521,0.467,0.089,0.058,0.115,0.119,0.765,0.525,0.223,0.392,0.162,0.025,0.431,0.249,0.32,0.431,0.283,0.308,0.264,0.562,0.438,0.131,-0.663,-0.22,-0.448,0.305,0
Q6P1R4,0.173,0.121,0.706,0.197,0.484,0.419,0.063,0.07,0.121,0.173,0.706,0.49,0.262,0.321,0.074,0.059,0.531,0.235,0.235,0.446,0.342,0.209,0.243,0.461,0.539,0.25,-0.406,-0.28,-0.247,0.143,0
Q52LR7,0.169,0.119,0.713,0.264,0.389,0.342,0.057,0.047,0.119,0.169,0.713,0.435,0.285,0.374,0.16,0.042,0.476,0.23,0.294,0.327,0.364,0.296,0.214,0.494,0.506,0.547,-0.295,-0.329,-0.429,0.156,0
Q7KZF4,0.157,0.138,0.704,0.19,0.477,0.416,0.049,0.077,0.138,0.157,0.704,0.475,0.244,0.348,0.107,0.027,0.476,0.266,0.258,0.426,0.329,0.223,0.226,0.487,0.513,0.291,-0.44,-0.371,-0.434,0.155,1
Q53GI3,0.203,0.143,0.654,0.253,0.369,0.314,0.053,0.061,0.143,0.203,0.654,0.387,0.289,0.405,0.135,0.048,0.52,0.201,0.278,0.346,0.358,0.266,0.244,0.442,0.558,0.773,-0.194,-0.264,-0.303,0.101,0
Q16553,0.061,0.038,0.901,0.275,0.58,0.511,0.053,0.061,0.038,0.061,0.901,0.603,0.16,0.313,0.16,0.099,0.382,0.282,0.336,0.58,0.191,0.26,0.382,0.611,0.389,-0.349,-1.046,0.115,-0.469,0.093,1
Q5FWF6,0.224,0.106,0.671,0.268,0.367,0.275,0.033,0.101,0.106,0.224,0.671,0.405,0.292,0.355,0.113,0.071,0.496,0.273,0.231,0.372,0.346,0.247,0.214,0.393,0.607,0.518,-0.074,-0.294,-0.113,-0.052,0
Q14974,0.1,0.142,0.758,0.219,0.495,0.433,0.042,0.062,0.142,0.1,0.758,0.527,0.186,0.352,0.105,0.054,0.486,0.269,0.244,0.452,0.338,0.216,0.225,0.495,0.505,0.04,-0.568,-0.253,-0.584,0.164,1
Q96F46,0.115,0.132,0.753,0.212,0.518,0.443,0.091,0.072,0.132,0.115,0.753,0.523,0.229,0.363,0.115,0.052,0.455,0.236,0.309,0.433,0.318,0.284,0.237,0.512,0.488,0.034,-0.465,-0.086,-0.38,0.234,1
Q6PKG0,0.178,0.142,0.68,0.211,0.439,0.373,0.102,0.079,0.142,0.178,0.68,0.419,0.31,0.398,0.125,0.022,0.448,0.214,0.339,0.328,0.403,0.296,0.213,0.501,0.499,0.576,-0.239,-0.247,-0.335,0.229,1
Q3I5F7,0.15,0.126,0.724,0.152,0.556,0.473,0.074,0.088,0.126,0.15,0.724,0.532,0.24,0.311,0.078,0.036,0.489,0.242,0.268,0.485,0.302,0.226,0.24,0.48,0.52,-0.048,-0.469,-0.22,-0.276,0.259,0
Q8N1F7,0.136,0.139,0.725,0.227,0.455,0.379,0.037,0.084,0.139,0.136,0.725,0.473,0.215,0.368,0.126,0.035,0.495,0.248,0.258,0.405,0.325,0.238,0.2,0.449,0.551,0.158,-0.323,-0.366,-0.513,0.153,1
Q5VZ52,0.155,0.155,0.689,0.224,0.422,0.329,0.043,0.155,0.155,0.155,0.689,0.391,0.242,0.379,0.093,0.056,0.36,0.323,0.317,0.36,0.323,0.298,0.199,0.472,0.528,0.371,-0.173,-0.123,-0.312,-0.152,0
Q4VNC0,0.116,0.09,0.794,0.241,0.514,0.42,0.05,0.106,0.09,0.116,0.794,0.539,0.204,0.329,0.129,0.051,0.418,0.332,0.25,0.467,0.287,0.259,0.214,0.468,0.532,-0.273,-0.503,-0.29,-0.395,0.068,0
Q14C87,0.13,0.133,0.737,0.233,0.47,0.401,0.051,0.068,0.133,0.13,0.737,0.471,0.216,0.398,0.149,0.036,0.412,0.278,0.309,0.409,0.321,0.267,0.224,0.513,0.487,0.218,-0.516,-0.299,-0.512,0.152,0
Q5VZB9,0.123,0.085,0.792,0.26,0.5,0.454,0.085,0.06,0.085,0.123,0.792,0.45,0.24,0.403,0.161,0.038,0.427,0.188,0.385,0.433,0.286,0.292,0.367,0.587,0.413,0.471,-0.685,-0.056,-0.424,0.258,0
Q7Z434,0.093,0.098,0.809,0.27,0.504,0.465,0.128,0.046,0.098,0.093,0.809,0.519,0.256,0.406,0.2,0.03,0.376,0.22,0.404,0.383,0.32,0.372,0.315,0.65,0.35,0.313,-0.704,0.045,-0.501,0.349,1
